Sr.No,Name,Prices1
0,Barbie Chelsea'nin Karavanı FXG90,"94,00 "
1,Barbie Color Reveal Renk Değiştiren Sürpriz Bebek,"134,00 "
2,Barbie Sonsuz Hareket Bebeği,"284,99 "
3,Barbie Bebek Bakıcısı Skipper Uyku Eğitiminde Oyun Seti GFL38,"233,90 "
4,Barbie Seyahatte Bebeği ve Aksesuarları FWV25,"329,07 "
5,Barbie Rengarenk Sonsuz Saç Eğlencesi GHN04,"183,50 "
6,Barbie Gökkuşağı Renkli Saçlar Bebeği FXN96,"171,00 "
7,Barbie Extra Pembe Ceketli Bebek GRN28,"148,05 "
8,Barbie Sonsuz Hareket Bebeği Kızıl DPP74,"134,70 "
9,Barbie Color Reveal Renk Değiştiren Sürpriz Barbie Parti Seri 4 GWC58,"318,51 "
10,Barbie Süpermarkette Oyun Seti FRP01,"144,76 "
11,Barbie Dreamtopia Renk Değiştiren Sihirli Denizkızı GTF89,"279,90 "
12,Barbie Sonsuz Hareket Bebeği Sarışın Desenli Taytlı GXF04,"199,70 "
13,Enchantimals Ana Karakter Bebekler,"199,99 "
14,Barbie Extra Mini Bebek HGP62,"148,50 "
15,Barbie'nin Pasta Dükkanı Model Bebek GFP59,"74,75 "
16,Barbie Extra Bebek GRN27,"169,73 "
17,Barbie Wellness Nefes Egzersizi Bebeği GNK01,"225,95 "
18,Barbie Kıyafet Kombinleri Oyun Seti GDJ40,"232,00 "
19,Barbie Extra Mor Saçlı Bebek GXF08,"312,25 "
20,Barbie Sonsuz Hareket Bebeği Kumral Mavi Tişörtlü DJY08,"309,99 "
21,Disney Frozen Elsa Bebek,"94,00 "
22,Barbie Color Reveral Renk Değiştiren Sürpriz Barbie Gökkuşağı Deniz Kızı Bebekler HDN68,"144,76 "
23,Disney Frozen 2 Şarkı Söyleyen Kraliçe Elsa E8880,"279,90 "
