Sr.No,Name,Prices1,Prices2
0,Barbie Color Reveal Renk Değiştiren Sürpriz Bebekler,"toysall.com.tr99,90 TL","toysall.com.tr99,90 TL"
1,Cry Babies W1-Mel CYB12000 Tutti Frutti Ağlayan Bebek,"welcomebaby.com.tr119,99 TL","welcomebaby.com.tr119,99 TL"
2,Cicciobello Çok Hastayım Bebek Oyuncak,"trendyol.com225,00 TL","trendyol.com225,00 TL"
3,Barbie FPR48 Sevimli Hayvan Arkadaşları,"hepsiburada.com599,00 TL","hepsiburada.com599,00 TL"
4,Barbie FHY73 Barbie'nin Rüya Evi,"amazon.com.tr899,00 TL","amazon.com.tr899,00 TL"
5,Barbie FXN96 Gökkuşağı Renkli Saçlar Bebeği,"ciceksepeti.com960,00 TL","ciceksepeti.com960,00 TL"
6,Barbie FXG90 Chelsea'nin Karavanı,"trendyol.com24,99 TL","trendyol.com24,99 TL"
7,Barbie FTG80-FTG81 Sonsuz Hareket Bebekleri,"amazon-prime.com110,30 TL","amazon-prime.com110,30 TL"
8,Barbie Sonsuz Hareket Bebeği GXF04,"amazon-prime.com2.869,27 TL","amazon-prime.com2.869,27 TL"
9,Barbie DHC40 Işıltılı Gökkuşağı Denizkızı,"trendyol.com3.349,00 TL","trendyol.com3.349,00 TL"
10,Baby Alive Sevimli Bebeğim,"amazon-prime.com178,31 TL","amazon-prime.com178,31 TL"
11,Barbie Barbie ve Doğuran Köpeği,"amazon.com.tr209,04 TL","amazon.com.tr209,04 TL"
12,Lol S2 CDU12 572824EUC Surprise OMG Hediye Sürprizi,"toysall.com.tr349,90 TL","toysall.com.tr349,90 TL"
13,Barbie FVJ42 Bebek ve Muhteşem Aksesuarları,"n11.com353,00 TL","n11.com353,00 TL"
14,Cry Babies Dreamy Fantasy Bebekler,"trendyol.com50,81 TL","trendyol.com50,81 TL"
15,Beyaz Oyuncak Altını Islatan Bebek,"pttavm.com100,67 TL","pttavm.com100,67 TL"
16,Barbie GHN04 Sonsuz Saç Eğlencesi Bebekleri,"amazon-prime.com127,29 TL","amazon-prime.com127,29 TL"
17,Barbie GFL38 Bebek Bakıcısı Skipper Uyku Eğitiminde Oyun Seti,"amazon.com.tr149,75 TL","amazon.com.tr149,75 TL"
18,Barbie GTF89 Dreamtopia Renk Değiştiren Sihirli Denizkızı,"amazon-prime.com186,81 TL","amazon-prime.com186,81 TL"
19,Barbie GNK01 Nefes Egzersizi Bebeği,"amazon.com.tr222,78 TL","amazon.com.tr222,78 TL"
20,Lol Remix Bebekler,"amazon-prime.com181,30 TL","amazon-prime.com181,30 TL"
21,Barbie FYW85 Barbie'nin Son Moda Kıyafetleri,"pttavm.com239,90 TL","pttavm.com239,90 TL"
22,Barbie GHL91 Barbie Ve Eğlenceli Havuzu,"hepsiburada.com165,30 TL","hepsiburada.com165,30 TL"
23,Barbie FTG82 Sonsuz Hareket Bebekleri,"trendyol.com189,00 TL","trendyol.com189,00 TL"
24,Barbie DHL84 Sonsuz Hareket Bebeği,"trendyol.com148,90 TL","trendyol.com148,90 TL"
25,Barbie GDG76 Barbie'nin Pembe Uçağı,"hepsiburada.com152,01 TL","hepsiburada.com152,01 TL"
26,Barbie GKH26 Dreamtopia Karlar Prensesi Bebek,"amazon-prime.com123,28 TL","amazon-prime.com123,28 TL"
27,Cry Babies Lizzy Ağlayan Bebekler,"amazon.com.tr129,77 TL","amazon.com.tr129,77 TL"
28,Barbie GTM82 Chelsea Doğum Günü Seti,"hepsiburada.com893,84 TL","hepsiburada.com893,84 TL"
29,Barbie FWV20 Barbie Seyahatte Chelsea ve Aksesuarları,"trendyol.com999,90 TL","trendyol.com999,90 TL"
30,Cry Babies Sasha Ağlayan Bebekler,"trendyol.com89,00 TL","trendyol.com89,00 TL"
31,Barbie FWV25 Barbie Seyahatte Bebeği ve Aksesuarları,"hepsiburada.com130,57 TL","hepsiburada.com130,57 TL"
