id;serial;name;price1;price2
1;0;Barbie FHY73 Barbie'nin Rüya Evi;3099.;pttavm.com3.099,00 TL
2;1;Cicciobello Çok Hastayım Bebek Oyuncak;3495.;trendyol.com3.495,00 TL
3;2;Barbie FXN96 Gökkuşağı Renkli Saçlar Bebeği;1299.;hepsiburada.com1.299,00 TL
4;3;Barbie FTG80-FTG81 Sonsuz Hareket Bebekleri;1499.;trendyol.com1.499,00 TL
5;4;Barbie FXG90 Chelsea'nin Karavanı;219.3;ciceksepeti.com219,30 TL
6;5;Barbie DJY08 Sonsuz Hareket Bebek;43.61;trendyol.com43,61 TL
7;6;Barbie FRP01 Süpermarkette Oyun Seti;100.67;pttavm.com100,67 TL
8;7;Barbie FWV20 Barbie Seyahatte Chelsea ve Aksesuarları;168.1;hepsiburada.com168,10 TL
9;8;Barbie GFL38 Bebek Bakıcısı Skipper Uyku Eğitiminde Oyun Seti;169.99;toyzzshop.com169,99 TL
10;9;Barbie GFP59 Pasta Dükkanı Oyun Seti;368.99;ciceksepeti.com368,99 TL
